Gender,MaritalStatus,Age,Accommodation,Faculty,SecSchType ,HealthCondition, LevelOfStudy,LectureAttend,ClassActive,LateFreq,StudyHours,CGPA,TechUtilization,EmpStatus,SocialMedia,StressMang,SadFreq,StudentAssoc,ExtracurricularAct,YearsBefAdmission,FamilySize,SponsorType,SponsorIncome,SponsorSupport, HomeResp,ProgramPref,OnlineResources,TeachStaffComp,QualityOfFacilities,ClassSize,InternetAccess,LecClarification,LecSupport,TeachnApproach,TeachnResources,TopicDensity,LecAbsFreq,LecPuctuality,TeachExperience
Male,Single,16-20,Off-campus,Physical Sciences,Private,No,300,Agree,Rarely,Rarely,5-10 hours,4.50 - 5.00,Very frequently,Yes,2-3 hours,High,Sometimes,No,Rarely,1-2 years,1-4 members,Parents,"N80,000 - N150,000",High,Very frequently,Yes,Poor,Good,Very poor,No,Strongly disagree,Good,Good,Frequently,Frequently,Agree,Agree,Disagree,Good
Male,Single,26-30,On-campus,Life Sciences,Public,No,500,Disagree,Rarely,Never,More than 20 hours,1.50 - 2.39,Frequently,No,1-2 hours,High,Sometimes,No,Rarely,2-3 years,5-9 members,Guardian,"Above N150,000",Average,Occasionally,Yes,Poor,Good,Average,Yes,Disagree,Good,Good,Frequently,Occasionally,Agree,Agree,Agree,Good
Male,Single,21-25,On-campus,Physical Sciences,Private,No,200,Agree,Frequently,Rarely,Less than 5 hours,3.50 - 4.49,Very frequently,No,Less than 1 hour,Moderate,Sometimes,No,Occasionally,1-2 years,5-9 members,Parents,"Above N150,000",High,Frequently,Yes,Average,Average,Average,No,Disagree,Average,Average,Always,Always,Agree,Agree,Agree,Good
Male,Married,31-35,On-campus,Physical Sciences,Public,No,200,Agree,Occasionally,Rarely,10-15 hours,2.40 - 3.49,Very frequently,Yes,More than 4 hours,Moderate,Sometimes,Yes,Occasionally,More than 3 years,5-9 members,Self-sponsored,"Below N80,000",Average,Frequently,Yes,Good,Good,Good,No,Agree,Good,Good,Always,Always,Disagree,Disagree,Disagree,Good
Male,Single,21-25,On-campus,Physical Sciences,Private,No,200,Agree,Rarely,Rarely,Less than 5 hours,2.40 - 3.49,Frequently,No,2-3 hours,Moderate,Sometimes,No,Occasionally,1-2 years,5-9 members,Parents,"Above N150,000",High,Occasionally,Yes,Good,Good,Good,Yes,Disagree,Good,Good,Frequently,Frequently,Agree,Agree,Disagree,Good
Male,Single,21-25,On-campus,Physical Sciences,Public,No,200,Disagree,Never,Twice a week,15-20 hours,2.40 - 3.49,Very frequently,Yes,1-2 hours,Moderate,Sometimes,No,Rarely,Less than 1 year,5-9 members,Parents,"Below N80,000",High,Very frequently,Yes,Average,Average,Average,Yes,Strongly agree,Good,Average,Frequently,Occasionally,Disagree,Strongly agree,Agree,Good
Male,Single,26-30,On-campus,Physical Sciences,Public,No,200,Agree,Occasionally,Once a week,5-10 hours,1.50 - 2.39,Frequently,No,2-3 hours,High,Sometimes,No,Never,More than 3 years,Above 9 members,Self-sponsored,"N80,000 - N150,000",Average,Very frequently,Yes,Good,Good,Average,No,Disagree,Good,Good,Frequently,Frequently,Agree,Agree,Agree,Good
Male,Single,21-25,Off-campus,Life Sciences,Public,No,500,Agree,Rarely,Almost every day,Less than 5 hours,2.40 - 3.49,Frequently,No,1-2 hours,Moderate,Sometimes,No,Never,Less than 1 year,5-9 members,Parents,"N80,000 - N150,000",Average,Occasionally,Yes,Very poor,Average,Poor,Yes,Agree,Poor,Average,Occasionally,Never,Strongly agree,Agree,Agree,Average
Male,Single,21-25,On-campus,Environmental,Private,No,200,Strongly disagree,Frequently,Once a week,5-10 hours,2.40 - 3.49,Frequently,No,More than 4 hours,Moderate,Sometimes,No,Very frequently,1-2 years,5-9 members,Parents,"N80,000 - N150,000",High,Frequently,Yes,Very poor,Poor,Poor,Yes,Strongly disagree,Good,Very poor,Frequently,Frequently,Disagree,Strongly agree,Strongly agree,Poor
Male,Single,16-20,Off-campus,Physical Sciences,Private,No,200,Disagree,Occasionally,Once a week,10-15 hours,3.50 - 4.49,Very frequently,Yes,2-3 hours,Moderate,Very often,No,Rarely,1-2 years,5-9 members,Parents,"Above N150,000",High,Not at all,Yes,Poor,Good,Good,No,Strongly disagree,Good,Good,Frequently,Frequently,Disagree,Disagree,Disagree,Good
Male,Single,21-25,On-campus,Physical Sciences,Private,No,200,Agree,Rarely,Twice a week,5-10 hours,2.40 - 3.49,Frequently,No,3-4 hours,Moderate,Sometimes,No,Never,Less than 1 year,1-4 members,Parents,"N80,000 - N150,000",Average,Not at all,Yes,Excellent,Excellent,Very poor,No,Strongly disagree,Excellent,Good,Occasionally,Frequently,Disagree,Disagree,Disagree,Excellent
Male,Single,21-25,Off-campus,Engineering,Public,No,200,Disagree,Frequently,Rarely,5-10 hours,3.50 - 4.49,Frequently,No,2-3 hours,High,Sometimes,Yes,Rarely,2-3 years,5-9 members,Parents,"Below N80,000",High,Frequently,Yes,Average,Excellent,Good,No,Agree,Good,Good,Frequently,Frequently,Agree,Disagree,Disagree,Good
Male,Single,21-25,On-campus,Physical Sciences,Private,No,300,Strongly disagree,Never,Rarely,10-15 hours,1.50 - 2.39,Frequently,Yes,More than 4 hours,Very high,Very often,No,Never,Less than 1 year,Above 9 members,Parents,"N80,000 - N150,000",Average,Occasionally,Yes,Poor,Poor,Very poor,No,Disagree,Poor,Good,Occasionally,Rarely,Agree,Disagree,Disagree,Average
Male,Single,21-25,Living with family/relatives,Social and Management Science,Private,No,300,Agree,Never,Almost every day,Less than 5 hours,3.50 - 4.49,Frequently,Yes,Less than 1 hour,High,Sometimes,No,Never,2-3 years,Above 9 members,Self-sponsored,"Below N80,000",Average,Very frequently,No,Very poor,Good,Average,Yes,Strongly disagree,Very poor,Average,Never,Frequently,Strongly agree,Strongly agree,Strongly agree,Average
Male,Single,16-20,Living with family/relatives,Physical Sciences,Private,No,200,Strongly disagree,Rarely,Rarely,Less than 5 hours,3.50 - 4.49,Very frequently,No,2-3 hours,High,Very often,No,Rarely,2-3 years,5-9 members,Parents,"N80,000 - N150,000",Average,Very frequently,Yes,Average,Good,Average,No,Strongly disagree,Average,Good,Frequently,Occasionally,Agree,Agree,Disagree,Average
Male,Single,16-20,On-campus,Physical Sciences,Private,No,200,Agree,Rarely,Never,Less than 5 hours,2.40 - 3.49,Frequently,No,1-2 hours,Moderate,Sometimes,No,Rarely,1-2 years,5-9 members,Parents,"Above N150,000",High,Frequently,Yes,Good,Good,Good,No,Disagree,Good,Average,Frequently,Occasionally,Disagree,Strongly agree,Agree,Good
Male,Single,21-25,On-campus,Engineering,Private,No,500,Agree,Rarely,Rarely,15-20 hours,1.50 - 2.39,Frequently,No,More than 4 hours,Moderate,Often,No,Never,Less than 1 year,Above 9 members,Parents,"Below N80,000",High,Frequently,Yes,Poor,Good,Good,No,Disagree,Average,Good,Occasionally,Frequently,Agree,Agree,Agree,Average
Male,Single,21-25,On-campus,Physical Sciences,Private,No,300,Strongly disagree,Occasionally,Rarely,5-10 hours,2.40 - 3.49,Very frequently,No,More than 4 hours,High,Sometimes,Yes,Occasionally,Less than 1 year,Above 9 members,Parents,"Above N150,000",Average,Frequently,Yes,Average,Excellent,Poor,Yes,Strongly disagree,Average,Good,Occasionally,Frequently,Disagree,Disagree,Disagree,Good
Male,Single,26-30,On-campus,Physical Sciences,Public,No,500,Disagree,Frequently,Rarely,10-15 hours,3.50 - 4.49,Frequently,Yes,1-2 hours,Moderate,Sometimes,Yes,Occasionally,1-2 years,Above 9 members,Parents,"Below N80,000",Average,Occasionally,No,Poor,Good,Average,Yes,Disagree,Average,Average,Rarely,Rarely,Agree,Disagree,Disagree,Average
Male,Single,21-25,Off-campus,Physical Sciences,Public,No,500,Agree,Never,Twice a week,10-15 hours,3.50 - 4.49,Very frequently,No,More than 4 hours,Moderate,Sometimes,No,Frequently,Less than 1 year,Above 9 members,Parents,"Above N150,000",High,Very frequently,Yes,Good,Average,Very poor,Yes,Disagree,Average,Average,Occasionally,Rarely,Disagree,Agree,Agree,Good
Male,Single,26-30,Living with family/relatives,Physical Sciences,Public,No,500,Strongly disagree,Rarely,Rarely,10-15 hours,2.40 - 3.49,Frequently,No,2-3 hours,Moderate,Sometimes,No,Occasionally,1-2 years,5-9 members,Parents,"Below N80,000",Average,Occasionally,Yes,Excellent,Good,Average,Yes,Agree,Good,Good,Frequently,Frequently,Disagree,Disagree,Disagree,Good
Male,Single,26-30,On-campus,Life Sciences,Private,No,500,Strongly disagree,Frequently,Rarely,More than 20 hours,3.50 - 4.49,Occasionally,No,3-4 hours,High,Sometimes,No,Rarely,2-3 years,Above 9 members,Parents,"N80,000 - N150,000",Average,Frequently,No,Average,Good,Average,No,Disagree,Good,Excellent,Always,Frequently,Agree,Agree,Disagree,Good
Male,Single,26-30,Off-campus,Physical Sciences,Private,No,500,Strongly disagree,Occasionally,Rarely,5-10 hours,3.50 - 4.49,Frequently,No,More than 4 hours,Moderate,Sometimes,Yes,Occasionally,More than 3 years,5-9 members,Parents,"Below N80,000",Low,Occasionally,Yes,Very poor,Average,Very poor,No,Disagree,Average,Average,Rarely,Rarely,Agree,Agree,Agree,Average
Male,Single,21-25,Off-campus,Physical Sciences,Private,No,500,Disagree,Occasionally,Rarely,5-10 hours,2.40 - 3.49,Frequently,No,3-4 hours,Low,Often,No,Rarely,Less than 1 year,5-9 members,Parents,"Above N150,000",High,Occasionally,Yes,Very poor,Good,Poor,Yes,Strongly disagree,Good,Good,Frequently,Frequently,Agree,Strongly disagree,Strongly agree,Good
Male,Single,21-25,On-campus,Physical Sciences,Private,No,500,Strongly agree,Occasionally,Twice a week,Less than 5 hours,2.40 - 3.49,Rarely,No,2-3 hours,Moderate,Very often,No,Occasionally,Less than 1 year,5-9 members,Parents,"Below N80,000",Low,Very frequently,Yes,Poor,Good,Average,Yes,Strongly disagree,Average,Average,Frequently,Frequently,Agree,Agree,Agree,Average
Male,Single,21-25,On-campus,Physical Sciences,Private,No,500,Disagree,Occasionally,Never,More than 20 hours,2.40 - 3.49,Frequently,No,More than 4 hours,Moderate,Sometimes,No,Rarely,Less than 1 year,1-4 members,Parents,"Below N80,000",High,Frequently,Yes,Average,Average,Average,No,Disagree,Good,Good,Rarely,Rarely,Agree,Agree,Agree,Good
Male,Single,26-30,Off-campus,Physical Sciences,Public,No,500,Disagree,Occasionally,Rarely,10-15 hours,3.50 - 4.49,Very frequently,No,More than 4 hours,Moderate,Often,No,Occasionally,Less than 1 year,5-9 members,Parents,"N80,000 - N150,000",High,Frequently,No,Average,Average,Poor,No,Disagree,Average,Good,Occasionally,Occasionally,Strongly disagree,Disagree,Agree,Average
Male,Single,21-25,Off-campus,Physical Sciences,Private,No,300,Agree,Occasionally,Twice a week,Less than 5 hours,2.40 - 3.49,Frequently,Yes,2-3 hours,Moderate,Sometimes,Yes,Occasionally,Less than 1 year,Above 9 members,Parents,"N80,000 - N150,000",Average,Frequently,Yes,Good,Good,Average,Yes,Agree,Good,Good,Occasionally,Occasionally,Agree,Agree,Agree,Average
Male,Single,21-25,Off-campus,Physical Sciences,Public,No,500,Strongly disagree,Occasionally,Rarely,5-10 hours,2.40 - 3.49,Very frequently,No,More than 4 hours,Moderate,Sometimes,No,Occasionally,2-3 years,5-9 members,Parents,"N80,000 - N150,000",High,Frequently,Yes,Good,Good,Good,Yes,Agree,Good,Good,Occasionally,Frequently,Agree,Disagree,Disagree,Good
Female,Single,21-25,On-campus,Physical Sciences,Private,No,500,Strongly disagree,Frequently,Never,10-15 hours,1.50 - 2.39,Frequently,No,1-2 hours,Moderate,Sometimes,No,Never,Less than 1 year,5-9 members,Parents,"N80,000 - N150,000",High,Not at all,Yes,Average,Good,Very poor,Yes,Disagree,Good,Good,Frequently,Frequently,Agree,Agree,Agree,Good
Female,Single,16-20,On-campus,Physical Sciences,Private,No,200,Agree,Never,Almost every day,Less than 5 hours,2.40 - 3.49,Frequently,No,3-4 hours,Moderate,Sometimes,No,Never,Less than 1 year,5-9 members,Parents,"N80,000 - N150,000",Average,Frequently,Yes,Poor,Average,Average,Yes,Agree,Average,Average,Rarely,Occasionally,Agree,Strongly agree,Strongly agree,Average
Male,Single,26-30,Off-campus,Engineering,Private,No,500,Agree,Occasionally,Rarely,10-15 hours,2.40 - 3.49,Very frequently,No,Less than 1 hour,High,Sometimes,No,Rarely,Less than 1 year,Above 9 members,Guardian,"N80,000 - N150,000",High,Occasionally,Yes,Very poor,Good,Average,No,Disagree,Good,Good,Frequently,Frequently,Disagree,Agree,Agree,Good
Male,Single,26-30,Off-campus,Physical Sciences,Public,No,500,Disagree,Rarely,Rarely,5-10 hours,3.50 - 4.49,Rarely,No,Less than 1 hour,Very low,Sometimes,Yes,Never,1-2 years,5-9 members,Parents,"Below N80,000",Low,Frequently,No,Average,Good,Good,Yes,Agree,Good,Good,Frequently,Rarely,Strongly disagree,Disagree,Disagree,Good
Male,Single,21-25,Off-campus,Engineering,Private,No,400,Disagree,Occasionally,Rarely,5-10 hours,1.50 - 2.39,Very frequently,No,2-3 hours,High,Sometimes,No,Occasionally,1-2 years,5-9 members,Parents,"Below N80,000",Average,Frequently,No,Good,Good,Good,No,Disagree,Good,Good,Occasionally,Occasionally,Disagree,Disagree,Disagree,Good
Male,Married,31-35,Off-campus,Physical Sciences,Public,No,500,Agree,Occasionally,Rarely,More than 20 hours,2.40 - 3.49,Frequently,Yes,3-4 hours,High,Often,Yes,Occasionally,More than 3 years,Above 9 members,Self-sponsored,"Below N80,000",Low,Very frequently,Yes,Average,Good,Poor,Yes,Disagree,Good,Good,Occasionally,Occasionally,Disagree,Agree,Disagree,Good
Male,Single,21-25,On-campus,Life Sciences,Private,No,500,Strongly disagree,Very frequently,Never,More than 20 hours,3.50 - 4.49,Frequently,No,More than 4 hours,Moderate,Very often,Yes,Rarely,Less than 1 year,5-9 members,Parents,"Below N80,000",High,Very frequently,Yes,Very poor,Good,Good,Yes,Disagree,Good,Good,Always,Always,Disagree,Disagree,Disagree,Good
Male,Single,26-30,Off-campus,Engineering,Public,Yes,500,Disagree,Frequently,Never,More than 20 hours,2.40 - 3.49,Frequently,No,1-2 hours,Very high,Sometimes,Yes,Frequently,1-2 years,Above 9 members,Parents,"N80,000 - N150,000",High,Frequently,Yes,Very poor,Good,Average,Yes,Disagree,Good,Average,Rarely,Rarely,Agree,Disagree,Disagree,Poor
Male,Single,26-30,On-campus,Social and Management Science,Public,No,400,Agree,Occasionally,Rarely,10-15 hours,2.40 - 3.49,Frequently,No,Less than 1 hour,Moderate,Sometimes,No,Frequently,Less than 1 year,1-4 members,Parents,"N80,000 - N150,000",Average,Frequently,Yes,Very poor,Good,Very poor,Yes,Strongly disagree,Good,Very poor,Rarely,Occasionally,Strongly agree,Strongly agree,Strongly agree,Very poor
Male,Single,21-25,On-campus,Physical Sciences,Private,No,200,Agree,Never,Once a week,5-10 hours,3.50 - 4.49,Occasionally,No,1-2 hours,Moderate,Sometimes,No,Never,1-2 years,5-9 members,Parents,"N80,000 - N150,000",Average,Not at all,Yes,Average,Excellent,Average,No,Agree,Average,Average,Occasionally,Occasionally,Disagree,Agree,Agree,Average
Female,Single,21-25,On-campus,Engineering,Public,No,400,Strongly disagree,Frequently,Rarely,Less than 5 hours,3.50 - 4.49,Frequently,No,2-3 hours,High,Very often,Yes,Occasionally,Less than 1 year,Above 9 members,Parents,"Below N80,000",Low,Occasionally,Yes,Average,Good,Average,Yes,Strongly disagree,Average,Average,Frequently,Occasionally,Agree,Agree,Agree,Good
Male,Single,26-30,On-campus,Social and Management Science,Private,No,200,Disagree,Rarely,Never,Less than 5 hours,1.50 - 2.39,Frequently,No,1-2 hours,Low,Sometimes,No,Occasionally,Less than 1 year,Above 9 members,Self-sponsored,"Below N80,000",Average,Not at all,Yes,Average,Average,Good,Yes,Strongly disagree,Good,Average,Always,Always,Disagree,Agree,Agree,Good
Male,Single,21-25,On-campus,Physical Sciences,Public,No,200,Agree,Occasionally,Rarely,15-20 hours,3.50 - 4.49,Frequently,No,More than 4 hours,Moderate,Often,Yes,Occasionally,Less than 1 year,1-4 members,Parents,"Above N150,000",Average,Occasionally,No,Average,Average,Average,Yes,Agree,Average,Average,Occasionally,Occasionally,Agree,Agree,Agree,Average
Male,Single,16-20,Off-campus,Engineering,Private,No,300,Agree,Never,Twice a week,Less than 5 hours,2.40 - 3.49,Very frequently,No,More than 4 hours,Low,Sometimes,No,Very frequently,Less than 1 year,5-9 members,Parents,"N80,000 - N150,000",High,Occasionally,No,Very poor,Average,Very poor,Yes,Disagree,Average,Excellent,Frequently,Occasionally,Agree,Disagree,Agree,Average
Male,Single,26-30,On-campus,Physical Sciences,Public,Yes,500,Agree,Occasionally,Rarely,15-20 hours,1.50 - 2.39,Very frequently,Yes,1-2 hours,Moderate,Often,Yes,Rarely,Less than 1 year,5-9 members,Parents,"N80,000 - N150,000",Average,Very frequently,Yes,Good,Average,Very poor,No,Strongly disagree,Average,Average,Rarely,Occasionally,Agree,Disagree,Agree,Average
Male,Single,26-30,On-campus,Education,Public,No,500,Strongly agree,Very frequently,Once a week,Less than 5 hours,2.40 - 3.49,Frequently,No,Less than 1 hour,Moderate,Sometimes,Yes,Never,More than 3 years,Above 9 members,Self-sponsored,"Below N80,000",Average,Frequently,Yes,Average,Average,Average,Yes,Disagree,Good,Average,Frequently,Never,Agree,Agree,Agree,Average
Male,Single,16-20,Off-campus,Education,Private,No,200,Strongly disagree,Rarely,Rarely,Less than 5 hours,3.50 - 4.49,Occasionally,No,More than 4 hours,High,Sometimes,No,Never,Less than 1 year,Above 9 members,Guardian,"Below N80,000",Average,Frequently,No,Poor,Good,Average,No,Strongly disagree,Average,Average,Frequently,Never,Agree,Agree,Agree,Average
Male,Single,21-25,Living with family/relatives,Physical Sciences,Public,No,500,Strongly agree,Occasionally,Twice a week,Less than 5 hours,1.50 - 2.39,Occasionally,No,1-2 hours,Moderate,Never,Yes,Occasionally,Less than 1 year,5-9 members,Parents,"N80,000 - N150,000",Average,Frequently,No,Poor,Good,Good,Yes,Disagree,Good,Average,Always,Frequently,Agree,Agree,Strongly agree,Good
Male,Single,16-20,On-campus,Physical Sciences,Private,No,200,Disagree,Frequently,Never,5-10 hours,3.50 - 4.49,Frequently,Yes,More than 4 hours,High,Sometimes,Yes,Rarely,Less than 1 year,1-4 members,Parents,"Above N150,000",High,Occasionally,Yes,Good,Good,Good,Yes,Agree,Good,Good,Occasionally,Frequently,Agree,Agree,Agree,Good
Female,Single,26-30,On-campus,Life Sciences,Public,No,500,Agree,Occasionally,Twice a week,5-10 hours,2.40 - 3.49,Occasionally,No,1-2 hours,Moderate,Sometimes,No,Never,Less than 1 year,5-9 members,Parents,"Below N80,000",Low,Occasionally,Yes,Good,Very poor,Good,Yes,Agree,Very poor,Very poor,Occasionally,Occasionally,Agree,Disagree,Disagree,Excellent
Male,Single,21-25,Off-campus,Social and Management Science,Public,No,500,Strongly disagree,Frequently,Rarely,More than 20 hours,4.50 - 5.00,Frequently,No,3-4 hours,High,Sometimes,No,Rarely,1-2 years,Above 9 members,Self-sponsored,"Below N80,000",High,Occasionally,Yes,Average,Good,Average,Yes,Agree,Good,Good,Always,Frequently,Agree,Agree,Agree,Good
Female,Married,26-30,Living with family/relatives,Education,Private,No,500,Agree,Occasionally,Rarely,5-10 hours,2.40 - 3.49,Frequently,No,3-4 hours,Low,Often,No,Rarely,Less than 1 year,5-9 members,Guardian,"Above N150,000",Average,Very frequently,Yes,Good,Good,Good,Yes,Agree,Good,Good,Occasionally,Frequently,Disagree,Disagree,Agree,Good
Male,Single,21-25,On-campus,Physical Sciences,Private,No,500,Agree,Frequently,Never,5-10 hours,3.50 - 4.49,Very frequently,No,More than 4 hours,Moderate,Often,Yes,Rarely,Less than 1 year,5-9 members,Self-sponsored,"Below N80,000",Low,Frequently,Yes,Good,Average,Average,Yes,Agree,Average,Excellent,Frequently,Rarely,Strongly agree,Disagree,Disagree,Average
Male,Single,21-25,Off-campus,Physical Sciences,Public,No,300,Strongly agree,Rarely,Almost every day,Less than 5 hours,2.40 - 3.49,Frequently,Yes,More than 4 hours,High,Sometimes,No,Occasionally,Less than 1 year,1-4 members,Parents,"N80,000 - N150,000",High,Occasionally,Yes,Good,Average,Average,Yes,Strongly disagree,Average,Average,Occasionally,Occasionally,Disagree,Disagree,Disagree,Good
Male,Married,26-30,Off-campus,Environmental,Public,Yes,500,Disagree,Frequently,Once a week,10-15 hours,1.50 - 2.39,Rarely,Yes,3-4 hours,Low,Sometimes,No,Rarely,Less than 1 year,Above 9 members,Self-sponsored,"Below N80,000",Average,Very frequently,Yes,Good,Average,Good,No,Disagree,Good,Good,Rarely,Rarely,Agree,Disagree,Agree,Good
Male,Single,16-20,On-campus,Physical Sciences,Private,No,200,Agree,Rarely,Twice a week,Less than 5 hours,3.50 - 4.49,Frequently,No,More than 4 hours,Moderate,Sometimes,No,Occasionally,Less than 1 year,5-9 members,Parents,"Below N80,000",Average,Occasionally,Yes,Average,Good,Average,Yes,Disagree,Good,Good,Frequently,Always,Disagree,Disagree,Disagree,Average
Female,Married,26-30,On-campus,Engineering,Public,No,500,Agree,Frequently,Rarely,15-20 hours,2.40 - 3.49,Frequently,No,1-2 hours,Moderate,Sometimes,No,Occasionally,Less than 1 year,1-4 members,Guardian,"Below N80,000",High,Frequently,Yes,Poor,Good,Good,Yes,Agree,Good,Good,Frequently,Frequently,Disagree,Agree,Agree,Good
Female,Single,21-25,On-campus,Life Sciences,Private,No,500,Agree,Never,Almost every day,5-10 hours,2.40 - 3.49,Frequently,No,More than 4 hours,Moderate,Very often,No,Rarely,1-2 years,Above 9 members,Parents,"Above N150,000",High,Not at all,No,Good,Poor,Poor,No,Disagree,Poor,Good,Frequently,Rarely,Agree,Agree,Agree,Poor
Male,Single,21-25,Off-campus,Environmental,Private,No,500,Disagree,Frequently,Rarely,15-20 hours,3.50 - 4.49,Very frequently,No,More than 4 hours,Moderate,Sometimes,No,Rarely,Less than 1 year,Above 9 members,Parents,"Above N150,000",High,Very frequently,Yes,Average,Excellent,Good,Yes,Agree,Excellent,Excellent,Frequently,Occasionally,Agree,Disagree,Agree,Good
Male,Single,26-30,On-campus,Engineering,Public,No,500,Strongly disagree,Frequently,Rarely,More than 20 hours,2.40 - 3.49,Occasionally,No,1-2 hours,Moderate,Sometimes,No,Rarely,Less than 1 year,Above 9 members,Self-sponsored,"Below N80,000",Average,Frequently,Yes,Average,Excellent,Average,Yes,Strongly agree,Good,Good,Always,Always,Disagree,Disagree,Disagree,Good
Male,Single,26-30,Off-campus,Physical Sciences,Public,No,500,Agree,Very frequently,Twice a week,5-10 hours,3.50 - 4.49,Occasionally,No,More than 4 hours,Low,Sometimes,No,Rarely,More than 3 years,5-9 members,Parents,"Above N150,000",Average,Occasionally,Yes,Average,Average,Very poor,No,Strongly agree,Average,Good,Frequently,Occasionally,Disagree,Agree,Agree,Average
Male,Single,21-25,Off-campus,Physical Sciences,Public,No,400,Strongly disagree,Frequently,Rarely,5-10 hours,4.50 - 5.00,Very frequently,No,1-2 hours,High,Never,No,Never,More than 3 years,Above 9 members,Parents,"Below N80,000",High,Occasionally,Yes,Very poor,Good,Very poor,No,Strongly disagree,Good,Good,Occasionally,Always,Agree,Strongly agree,Strongly agree,Good
